Country,Year,Value
Allemagne,1990-01-01,29.0
France,1990-01-01,71.6
Royaume-Uni,1990-01-01,12.8
Italie,1990-01-01,58.9
Espagne,1990-01-01,40.9
Allemagne,1991-01-01,22.8
France,1991-01-01,66.1
Royaume-Uni,1991-01-01,10.9
Italie,1991-01-01,63.1
Espagne,1991-01-01,44.1
Allemagne,1992-01-01,23.0
France,1992-01-01,63.0
Royaume-Uni,1992-01-01,10.4
Italie,1992-01-01,62.7
Espagne,1992-01-01,43.2
Allemagne,1993-01-01,23.3
France,1993-01-01,63.5
Royaume-Uni,1993-01-01,11.8
Italie,1993-01-01,63.1
Espagne,1993-01-01,41.6
Allemagne,1994-01-01,22.3
France,1994-01-01,62.0
Royaume-Uni,1994-01-01,11.7
Italie,1994-01-01,63.1
Espagne,1994-01-01,40.7
Allemagne,1995-01-01,22.9
France,1995-01-01,60.3
Royaume-Uni,1995-01-01,12.4
Italie,1995-01-01,60.0
Espagne,1995-01-01,39.0
Allemagne,1996-01-01,23.3
France,1996-01-01,59.0
Royaume-Uni,1996-01-01,12.4
Italie,1996-01-01,61.0
Espagne,1996-01-01,36.7
Allemagne,1997-01-01,23.6
France,1997-01-01,58.5
Royaume-Uni,1997-01-01,13.0
Italie,1997-01-01,59.5
Espagne,1997-01-01,36.7
Allemagne,1998-01-01,23.3
France,1998-01-01,59.2
Royaume-Uni,1998-01-01,13.8
Italie,1998-01-01,55.7
Espagne,1998-01-01,36.8
Allemagne,1999-01-01,24.4
France,1999-01-01,58.1
Royaume-Uni,1999-01-01,14.5
Italie,1999-01-01,55.9
Espagne,1999-01-01,37.1
Allemagne,2000-01-01,24.4
France,2000-01-01,52.2
Royaume-Uni,2000-01-01,16.1
Italie,2000-01-01,55.4
Espagne,2000-01-01,35.5
Allemagne,2001-01-01,24.7
France,2001-01-01,54.4
Royaume-Uni,2001-01-01,16.7
Italie,2001-01-01,46.8
Espagne,2001-01-01,35.6
Allemagne,2002-01-01,24.1
France,2002-01-01,51.4
Royaume-Uni,2002-01-01,16.5
Italie,2002-01-01,48.6
Espagne,2002-01-01,34.0
Allemagne,2003-01-01,24.3
France,2003-01-01,53.0
Royaume-Uni,2003-01-01,17.9
Italie,2003-01-01,51.1
Espagne,2003-01-01,32.9
Allemagne,2004-01-01,23.7
France,2004-01-01,49.2
Royaume-Uni,2004-01-01,22.6
Italie,2004-01-01,38.8
Espagne,2004-01-01,32.8
Allemagne,2005-01-01,24.5
France,2005-01-01,46.9
Royaume-Uni,2005-01-01,21.7
Italie,2005-01-01,46.3
Espagne,2005-01-01,32.2
Allemagne,2006-01-01,24.5
France,2006-01-01,53.7
Royaume-Uni,2006-01-01,19.8
Italie,2006-01-01,46.5
Espagne,2006-01-01,31.2
Allemagne,2007-01-01,24.5
France,2007-01-01,47.7
Royaume-Uni,2007-01-01,20.2
Italie,2007-01-01,40.1
Espagne,2007-01-01,30.1
Allemagne,2008-01-01,24.5
France,2008-01-01,46.5
Royaume-Uni,2008-01-01,20.5
Italie,2008-01-01,36.1
Espagne,2008-01-01,26.9
Allemagne,2009-01-01,21.4
France,2009-01-01,48.1
Royaume-Uni,2009-01-01,19.4
Italie,2009-01-01,31.8
Espagne,2009-01-01,24.6
Allemagne,2010-01-01,24.7
France,2010-01-01,45.7
Royaume-Uni,2010-01-01,16.4
Italie,2010-01-01,35.8
Espagne,2010-01-01,22.9
Allemagne,2011-01-01,25.6
France,2011-01-01,41.3
Royaume-Uni,2011-01-01,20.4
Italie,2011-01-01,32.3
Espagne,2011-01-01,22.2
Allemagne,2012-01-01,25.1
France,2012-01-01,44.0
Royaume-Uni,2012-01-01,19.5
Italie,2012-01-01,37.4
Espagne,2012-01-01,21.4
Allemagne,2013-01-01,24.1
France,2013-01-01,43.8
Royaume-Uni,2013-01-01,19.4
Italie,2013-01-01,38.1
Espagne,2013-01-01,21.1
Allemagne,2014-01-01,24.4
France,2014-01-01,42.6
Royaume-Uni,2014-01-01,19.4
Italie,2014-01-01,32.2
Espagne,2014-01-01,21.1
Allemagne,2015-01-01,24.0
France,2015-01-01,40.7
Royaume-Uni,2015-01-01,19.6
Italie,2015-01-01,35.8
Espagne,2015-01-01,21.1
Allemagne,2016-01-01,24.4
France,2016-01-01,43.1
Royaume-Uni,2016-01-01,19.6
Italie,2016-01-01,39.7
Espagne,2016-01-01,18.3
Allemagne,2017-01-01,23.6
France,2017-01-01,39.2
Royaume-Uni,2017-01-01,20.8
Italie,2017-01-01,33.0
Espagne,2017-01-01,21.1
Allemagne,2018-01-01,25.1
France,2018-01-01,41.3
Royaume-Uni,2018-01-01,19.6
Italie,2018-01-01,42.1
Espagne,2018-01-01,21.7
Allemagne,2019-01-01,25.0
France,2019-01-01,39.9
Royaume-Uni,2019-01-01,19.5
Italie,2019-01-01,42.1
Espagne,2019-01-01,20.2
Allemagne,2020-01-01,25.0
France,2020-01-01,32.5
Royaume-Uni,2020-01-01,19.7
Italie,2020-01-01,43.8
Espagne,2020-01-01,20.3
Allemagne,2021-01-01,24.8
France,2021-01-01,36.6
Royaume-Uni,2021-01-01,19.8
Italie,2021-01-01,45.3
Espagne,2021-01-01,21.4
Allemagne,2022-01-01,24.8
France,2022-01-01,36.8
Royaume-Uni,2022-01-01,19.5
Italie,2022-01-01,44.2
Espagne,2022-01-01,21.4
