Food Category,precision,recall,f1-score,support
Bread,0.704969,0.616848,0.657971,368.0
Dairy product,0.795181,0.445946,0.571429,148.0
Dessert,0.716298,0.712,0.714142,500.0
Egg,0.676647,0.674627,0.675635,335.0
Fried food,0.843137,0.599303,0.700611,287.0
Meat,0.663823,0.900463,0.764244,432.0
Noodles-Pasta,0.958333,0.938776,0.948454,147.0
Rice,0.903226,0.875,0.888889,96.0
Seafood,0.763636,0.831683,0.796209,303.0
Soup,0.927451,0.946,0.936634,500.0
Vegetable-Fruit,0.853333,0.90566,0.878719,212.0
accuracy,0.773738,0.773738,0.773738,0.773738
macro avg,0.800549,0.767846,0.775721,3328.0
weighted avg,0.779535,0.773738,0.769818,3328.0
